"","Date","Infl_f","BOT_f","Yield_f","FER_f","Int_f","1Y_Yield_f","GDPG_f","CA_f","FDI_f","Exchange","Country"
"144",1983-01-01,9.6,-1300,NA,NA,NA,-41400.178771309,-10.49,2141.82203712015,-3825.7060368018,2.0501,"sweden"
"145",1983-02-01,9.7,150,NA,NA,NA,-40457.2157832499,-8.16774641031861,2121.86044889767,-3411.2863416632,1.9679,"sweden"
"146",1983-03-01,8.2,310,NA,NA,NA,-39528.6756300341,-4.60939520065258,2111.69983546482,-3027.80543433014,2.018,"sweden"
"147",1983-04-01,8.3,2370,NA,NA,NA,-38614.4472005504,-1.03,2111.18684034011,-2674.06331480263,2.0663,"sweden"
"148",1983-05-01,8.4,1010,NA,NA,NA,-37714.4193836878,1.53116655308932,2120.16810704206,-2348.85998308066,2.0587,"sweden"
"149",1983-06-01,8.7,1910,NA,NA,NA,-36828.4810683352,2.73795578185877,2138.49027908918,-2050.99543916424,2.0572,"sweden"
"150",1983-07-01,8.9,3480,NA,NA,NA,-35956.5211433814,2.43,2166,-1779.26968305336,2.1123,"sweden"
"151",1983-08-01,9,1060,NA,NA,NA,-35098.4284977153,0.637895012776135,2202.25692040933,-1532.48271474802,2.1184,"sweden"
"152",1983-09-01,9.3,-3360,NA,NA,NA,-34254.0920202258,-1.84390940826397,2245.67271941717,-1309.43453424823,2.1632,"sweden"
"153",1983-10-01,9.5,1520,NA,NA,NA,-33423.4005998018,-4.03,2294.37208323983,-1108.92514155398,2.1623,"sweden"
"154",1983-11-01,8.8,1540,NA,NA,NA,-32606.2431253322,-5.0897836412309,2346.47969809361,-929.75453666528,2.1122,"sweden"
"155",1983-12-01,8.6,690,NA,NA,NA,-31802.5084857059,-4.81194777843253,2400.1202501948,-770.72271958212,2.1701,"sweden"
"156",1984-01-01,9.2,-550,NA,NA,NA,-31012.0855698117,-3.14,2453.41842575971,-630.629690304504,2.1983,"sweden"
"157",1984-02-01,8.3,2730,NA,NA,NA,-30234.8632665386,-0.227278966371053,2504.49891100463,-508.275448832432,2.238,"sweden"
"158",1984-03-01,7.8,3040,NA,NA,NA,-29470.7304647754,2.93355237384595,2551.48639214587,-402.459995165904,2.205,"sweden"
"159",1984-04-01,9,3540,NA,NA,NA,-28719.5760534111,5.14,2592.50555539972,-311.98332930492,2.149,"sweden"
"160",1984-05-01,8.8,1570,NA,NA,NA,-27981.2889213345,5.49926987708548,2625.6810869825,-235.64545124948,2.1913,"sweden"
